node,model,press,response
AirTemperature,FCM,warming,-1.68E-14
Benthos,FCM,warming,-0.000336034
BottomSalinity,FCM,warming,-2.84E-14
BottomTemperature,FCM,warming,-21.82210473
CommercialGroundfishFishery,FCM,warming,-0.00646926
CommercialPelagicFishery,FCM,warming,-0.019605572
CommercialShellfishFishery,FCM,warming,-0.027179995
CopepodsMicronekton,FCM,warming,-0.00061187
DetritusBacteria,FCM,warming,-1.68E-14
Employment,FCM,warming,-0.002008534
FishedInvertebrates,FCM,warming,-0.302847258
ForageFish,FCM,warming,-0.284160045
GelatinousZooplankton,FCM,warming,-1.68E-14
Groundfish,FCM,warming,-0.087855234
HabitatNearshore,FCM,warming,-0.828906944
HabitatPelagic,FCM,warming,-0.035699782
HabitatSeafloorDemersal,FCM,warming,-3.274297188
MidAtlanticGroundfish,FCM,warming,-3.64E-14
Precipitation,FCM,warming,-1.68E-14
PrimaryProduction,FCM,warming,-0.004735513
Profits,FCM,warming,-0.002900221
ProtectedSpecies,FCM,warming,-0.036119705
RecreationalGroundfishFishery,FCM,warming,-3.39E-14
Seafood,FCM,warming,-0.001559968
SourceWaterProportions,FCM,warming,-1.68E-14
Stratification,FCM,warming,-0.84748371
SurfaceSalinity,FCM,warming,-2.84E-14
SurfaceTemperature,FCM,warming,-2.84E-14
TidalForcing,FCM,warming,-1.68E-14
Winds,FCM,warming,-1.68E-14
AirTemperature,FCM,trawl,-1.68E-14
Benthos,FCM,trawl,-1.40E-13
BottomSalinity,FCM,trawl,-2.84E-14
BottomTemperature,FCM,trawl,-2.84E-14
CommercialGroundfishFishery,FCM,trawl,-38.6934918
CommercialPelagicFishery,FCM,trawl,0.012293524
CommercialShellfishFishery,FCM,trawl,0.276134618
CopepodsMicronekton,FCM,trawl,-1.14E-13
DetritusBacteria,FCM,trawl,-1.68E-14
Employment,FCM,trawl,-1.977668219
FishedInvertebrates,FCM,trawl,1.859625584
ForageFish,FCM,trawl,0.178917253
GelatinousZooplankton,FCM,trawl,-1.68E-14
Groundfish,FCM,trawl,1.967271376
HabitatNearshore,FCM,trawl,-2.57E-14
HabitatPelagic,FCM,trawl,-4.00E-14
HabitatSeafloorDemersal,FCM,trawl,31.44650423
MidAtlanticGroundfish,FCM,trawl,-3.64E-14
Precipitation,FCM,trawl,-1.68E-14
PrimaryProduction,FCM,trawl,-7.06E-14
Profits,FCM,trawl,-1.077214411
ProtectedSpecies,FCM,trawl,3.089364177
RecreationalGroundfishFishery,FCM,trawl,-3.39E-14
Seafood,FCM,trawl,-2.360689314
SourceWaterProportions,FCM,trawl,-1.68E-14
Stratification,FCM,trawl,-3.88E-14
SurfaceSalinity,FCM,trawl,-2.84E-14
SurfaceTemperature,FCM,trawl,-2.84E-14
TidalForcing,FCM,trawl,-1.68E-14
Winds,FCM,trawl,-1.68E-14
AirTemperature,FCM,tw,-1.68E-14
Benthos,FCM,tw,-0.000336034
BottomSalinity,FCM,tw,-2.84E-14
BottomTemperature,FCM,tw,-21.82210473
CommercialGroundfishFishery,FCM,tw,-38.6934918
CommercialPelagicFishery,FCM,tw,-0.006042427
CommercialShellfishFishery,FCM,tw,0.245607666
CopepodsMicronekton,FCM,tw,-0.00061187
DetritusBacteria,FCM,tw,-1.68E-14
Employment,FCM,tw,-1.979321282
FishedInvertebrates,FCM,tw,1.536452308
ForageFish,FCM,tw,-0.087731609
GelatinousZooplankton,FCM,tw,-1.68E-14
Groundfish,FCM,tw,1.844210239
HabitatNearshore,FCM,tw,-0.828906944
HabitatPelagic,FCM,tw,-0.035699782
HabitatSeafloorDemersal,FCM,tw,26.01210021
MidAtlanticGroundfish,FCM,tw,-3.64E-14
Precipitation,FCM,tw,-1.68E-14
PrimaryProduction,FCM,tw,-0.004735513
Profits,FCM,tw,-1.079926212
ProtectedSpecies,FCM,tw,3.038568813
RecreationalGroundfishFishery,FCM,tw,-3.39E-14
Seafood,FCM,tw,-2.361967147
SourceWaterProportions,FCM,tw,-1.68E-14
Stratification,FCM,tw,-0.84748371
SurfaceSalinity,FCM,tw,-2.84E-14
SurfaceTemperature,FCM,tw,-2.84E-14
TidalForcing,FCM,tw,-1.68E-14
Winds,FCM,tw,-1.68E-14
AirTemperature,BBN,warming,0.86
Benthos,BBN,warming,0.5
BottomSalinity,BBN,warming,0.59
BottomTemperature,BBN,warming,1
CommercialGroundfishFishery,BBN,warming,0.53
CommercialPelagicFishery,BBN,warming,0.5
CommercialShellfishFishery,BBN,warming,0.5
CopepodsMicronekton,BBN,warming,0.5
DetritusBacteria,BBN,warming,0.49
Employment,BBN,warming,0.49
FishedInvertebrates,BBN,warming,0.45
ForageFish,BBN,warming,0.59
GelatinousZooplankton,BBN,warming,0.5
Groundfish,BBN,warming,0.48
HabitatNearshore,BBN,warming,0.65
HabitatPelagic,BBN,warming,0.7
HabitatSeafloorDemersal,BBN,warming,0.5
MidAtlanticGroundfish,BBN,warming,0.48
Precipitation,BBN,warming,0.49
PrimaryProduction,BBN,warming,0.48
Profits,BBN,warming,0.5
ProtectedSpecies,BBN,warming,0.52
RecreationalGroundfishFishery,BBN,warming,0.47
Seafood,BBN,warming,0.52
SourceWaterProportions,BBN,warming,0.39
Stratification,BBN,warming,0.66
SurfaceSalinity,BBN,warming,0.57
SurfaceTemperature,BBN,warming,0.68
TidalForcing,BBN,warming,0.22
Winds,BBN,warming,0.45
AirTemperature,BBN,trawl,0.5
Benthos,BBN,trawl,0.49
BottomSalinity,BBN,trawl,0.39
BottomTemperature,BBN,trawl,0.4
CommercialGroundfishFishery,BBN,trawl,1
CommercialPelagicFishery,BBN,trawl,0.48
CommercialShellfishFishery,BBN,trawl,0.52
CopepodsMicronekton,BBN,trawl,0.51
DetritusBacteria,BBN,trawl,0.49
Employment,BBN,trawl,0.5
FishedInvertebrates,BBN,trawl,0.39
ForageFish,BBN,trawl,0.48
GelatinousZooplankton,BBN,trawl,0.5
Groundfish,BBN,trawl,0.52
HabitatNearshore,BBN,trawl,0.67
HabitatPelagic,BBN,trawl,0.55
HabitatSeafloorDemersal,BBN,trawl,0.25
MidAtlanticGroundfish,BBN,trawl,0.44
Precipitation,BBN,trawl,0.49
PrimaryProduction,BBN,trawl,0.45
Profits,BBN,trawl,0.69
ProtectedSpecies,BBN,trawl,0.42
RecreationalGroundfishFishery,BBN,trawl,0.4
Seafood,BBN,trawl,0.55
SourceWaterProportions,BBN,trawl,0.64
Stratification,BBN,trawl,0.53
SurfaceSalinity,BBN,trawl,0.39
SurfaceTemperature,BBN,trawl,0.4
TidalForcing,BBN,trawl,0.22
Winds,BBN,trawl,0.35
AirTemperature,BBN,tw,0.86
Benthos,BBN,tw,0.5
BottomSalinity,BBN,tw,0.57
BottomTemperature,BBN,tw,1
CommercialGroundfishFishery,BBN,tw,1
CommercialPelagicFishery,BBN,tw,0.47
CommercialShellfishFishery,BBN,tw,0.52
CopepodsMicronekton,BBN,tw,0.5
DetritusBacteria,BBN,tw,0.49
Employment,BBN,tw,0.5
FishedInvertebrates,BBN,tw,0.38
ForageFish,BBN,tw,0.52
GelatinousZooplankton,BBN,tw,0.5
Groundfish,BBN,tw,0.53
HabitatNearshore,BBN,tw,0.64
HabitatPelagic,BBN,tw,0.7
HabitatSeafloorDemersal,BBN,tw,0.35
MidAtlanticGroundfish,BBN,tw,0.48
Precipitation,BBN,tw,0.49
PrimaryProduction,BBN,tw,0.48
Profits,BBN,tw,0.7
ProtectedSpecies,BBN,tw,0.45
RecreationalGroundfishFishery,BBN,tw,0.47
Seafood,BBN,tw,0.56
SourceWaterProportions,BBN,tw,0.41
Stratification,BBN,tw,0.67
SurfaceSalinity,BBN,tw,0.56
SurfaceTemperature,BBN,tw,0.67
TidalForcing,BBN,tw,0.22
Winds,BBN,tw,0.29
AirTemperature,QNM,warming,0
Benthos,QNM,warming,0.99
BottomSalinity,QNM,warming,0
BottomTemperature,QNM,warming,1
CommercialGroundfishFishery,QNM,warming,0.38
CommercialPelagicFishery,QNM,warming,0.27
CommercialShellfishFishery,QNM,warming,0.75
CopepodsMicronekton,QNM,warming,0.99
DetritusBacteria,QNM,warming,0
Employment,QNM,warming,0.44
FishedInvertebrates,QNM,warming,0.28
ForageFish,QNM,warming,0.27
GelatinousZooplankton,QNM,warming,0
Groundfish,QNM,warming,0.93
HabitatNearshore,QNM,warming,1
HabitatPelagic,QNM,warming,1
HabitatSeafloorDemersal,QNM,warming,0.62
MidAtlanticGroundfish,QNM,warming,0
