,Winds,Source Water Proportions,Surface Temperature,Surface Salinity,Bottom Temperature,Bottom Salinity,Stratification,Habitat: Pelagic,Habitat: Nearshore,Habitat: Seafloor & Demersal,Tidal Forcing,Air Temperature,Forage Fish,Groundfish,Fished Invertebrates,Copepods & Micronekton,Primary Production,Detritus & Bacteria,Commercial Groundfish Fishery,Protected Species,Benthos,Gelatinous Zooplankton,Commercial Pelagic Fishery,Commercial Shellfish Fishery,Precipitation,Recreational Groundfish Fishery,Social & Cultural Values,Mid Atlantic Groundfish,Profits,Employment,Seafood
Winds,,,1,1,1,1,,1,,,,,,,,,,,1,,,,1,1,,1,,,,,
Source Water Proportions,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Temperature,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Surface Salinity,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Bottom Temperature,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
Bottom Salinity,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
Stratification,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Habitat: Pelagic,,,,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,
Habitat: Nearshore,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,
Habitat: Seafloor & Demersal,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
Tidal Forcing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Air Temperature,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Forage Fish,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,
Groundfish,,,,,,,,,,,,,1,,1,,,,0,1,,,,0,,,,,,,
Fished Invertebrates,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,
Copepods & Micronekton,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,
Primary Production,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,
Detritus & Bacteria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Commercial Groundfish Fishery,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,1,,1,1,1
Protected Species,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,
Benthos,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
Gelatinous Zooplankton,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Commercial Pelagic Fishery,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,
Commercial Shellfish Fishery,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,1
Precipitation,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Recreational Groundfish Fishery,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
Social & Cultural Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Atlantic Groundfish,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Profits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
