node,model,press,response
Birds,FCM,warming,-2.58E+00
Birds,FCM,trawl,-2.78E+00
Birds,FCM,tw,-5.346924
Birds,BBN,warming,0.28
Birds,BBN,trawl,0.38
Birds,BBN,tw,0.28
Birds,QNM,warming,0.4376
Birds,QNM,trawl,0.4348
Birds,QNM,tw,0.4363
Community Infrastructure,FCM,warming,-6.36E-01
Community Infrastructure,FCM,trawl,-3.26E-02
Community Infrastructure,FCM,tw,-0.6663203
Community Infrastructure,BBN,warming,0.43
Community Infrastructure,BBN,trawl,0.45
Community Infrastructure,BBN,tw,0.43
Community Infrastructure,QNM,warming,0.1458
Community Infrastructure,QNM,trawl,0.1481
Community Infrastructure,QNM,tw,0.1426
Cultural,FCM,warming,-4.60E-02
Cultural,FCM,trawl,2.58E-01
Cultural,FCM,tw,0.2353248
Cultural,QNM,warming,0.3548
Cultural,QNM,trawl,0.1597
Cultural,QNM,tw,0.3303
Cultural,BBN,warming,0.27
Cultural,BBN,trawl,0.37
Cultural,BBN,tw,0.27
Erosion,FCM,warming,1.74E-01
Erosion,FCM,trawl,3.65E-02
Erosion,FCM,tw,0.2088079
Erosion,BBN,warming,0.91
Erosion,BBN,trawl,0.9
Erosion,BBN,tw,0.91
Erosion,QNM,warming,0.6431
Erosion,QNM,trawl,0.8353
Erosion,QNM,tw,0.6518
Farm Land,FCM,warming,-3.61E+00
Farm Land,FCM,trawl,-4.87E-02
Farm Land,FCM,tw,-3.649297
Farm Land,BBN,warming,0.37
Farm Land,BBN,trawl,0.45
Farm Land,BBN,tw,0.37
Farm Land,QNM,warming,0.2048
Farm Land,QNM,trawl,0.1399
Farm Land,QNM,tw,0.2006
Farming,FCM,warming,-2.58E-01
Farming,FCM,trawl,-3.47E-03
Farming,FCM,tw,-0.2609127
Farming,BBN,warming,0.43
Farming,BBN,trawl,0.5
Farming,BBN,tw,0.43
Farming,QNM,warming,0.2048
Farming,QNM,trawl,0.1398
Farming,QNM,tw,0.2006
Fish,FCM,warming,-9.27E-01
Fish,FCM,trawl,-6.48E+00
