,Temperature,Nutrients,Sediment,Tropical.Storms,Sea.Level.Rise,Invasive.Species,Storm.Surge,Flooding,Erosion,Oil.Spills,Oysters,Wetlands,Submerged.Aquatic.Vegetation,Open.Water.Water.Column,Protected.Species.Resources,Navigable.Waterways,Shellfish.Lower.Trophic,Fish,Birds,Other.Animals,Community.Infrastructure,Farm.Land,Habitable.Land,Oil.Gas,Fishing,Hunting,Recreation,Tourism,Subsistence,Farming,Jobs,Population.Displacement,HS.BMN.Stress,CHS.Local.Sense,Housing
Temperature,0,0,0,0.5,0.73,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutrients,0,0,0,0,0,0,0,0,0,0,0.33,0.41,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediment,0,0,0,0,0,0,0,0,0,0,-0.52,0.54,-0.63,0,0,0,0,0,0,0,0,0.55,0.62,0,0,0,0,0,0,0,0,0,0,0,0
Tropical Storms,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea-Level Rise,0,0,0,0,0,0,0.7,0.77,0,0,-0.71,-0.71,0,0.62,0,0,0,0,-0.57,0,0,-0.63,-0.63,0,0,0,0,0,0,0,0,0,0,0,0
Invasive Species,0,0,0,0,0,0,0,0,0.2,0,0,-0.33,-0.25,-0.17,0,-0.17,0,-0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storm Surge,0,0,0.38,0,0,0,0,0.6,0,0,0,-0.63,0,0,0,0,0,0,0,0,-0.43,-0.63,-0.67,0,0,0,0,0,0,0,0,0,0,0,-0.43
Flooding,0,0,0,0,0,0,0,0,0.67,0,-0.55,-0.44,0,0.62,0,0,0,0,-0.55,-0.33,-0.57,-0.57,-0.63,0,0,0,-0.44,-0.44,0,0,0,0.67,-0.47,-0.55,-0.53
Erosion,0,0,0,0,0,0,0,0,0,0,0,-0.74,0,0,0,0,0,0,0,0,-0.57,-0.57,-0.64,0,0,0,0,0,0,0,0,0,0,-0.53,0
Oil Spills,0,0,0,0,0,0,0,0,0.42,0,-0.71,-0.67,-0.59,-0.2,-0.67,0,-0.67,-0.48,-0.57,0,0,0,0,-0.52,-0.67,-0.5,0,-0.67,0,0,0,0.3,-0.44,-0.37,0
