node,Baseline_pIncrease,Trawl_pIncrease,Warming_pIncrease,TW_pIncrease
BKCA,0.48559471,0.45680262,0.43465403,0.40586635
BKCB,0.44691437,0.44929113,0.38985312,0.39222988
BKCJ,0.48559471,0.45680262,0.43465403,0.40586635
BKCL,0.44691437,0.44929113,0.38985312,0.39222988
HalA,0.6,0.55,0.6,0.55
Halfishery,0,0,0,0
HalJ,0.5,0.5,0.5,0.5
Hatchery,0,0,0,0
OA,0,0,0,0
PC,0.3600075,0.29667,0.2600075,0.19667
PCfishery,0,0,0,0
PO,0.42899925,0.390333,0.36399925,0.325333
RKCA,0.53605302,0.50079521,0.56765702,0.53239921
RKCB,0.5303351,0.52830504,0.5528601,0.55083005
RKCfishery,0,0,0,0
RKCJ,0.53605302,0.50079521,0.56765702,0.53239921
RKCL,0.5303351,0.52830504,0.5528601,0.55083005
smFP,0.44664899,0.46694955,0.47139899,0.49169955
smIP,0.44664899,0.46694955,0.47139899,0.49169955
Trawlfishery,0.5,1,0.5,1
Warming,0.5,0.5,1,1
